,year,winner,gender,country,time,marathon
4,1975,Tom Fleming,Male,United States,02:19:27,NYC
5,1975,Kim Merritt,Female,United States,02:46:14,NYC
0,1976,Ingo Sensburg,Male,Germany,02:23:08,Berlin
1,1976,Jutta von Haase,Female,Germany,03:05:19,Berlin
2,1976,Jack Fultz,Male,United States,02:20:19,Boston
3,1976,Kim Merritt,Female,United States,02:47:10,Boston
4,1976,Bill Rodgers,Male,United States,02:10:10,NYC
5,1976,Miki Gorman,Female,United States,02:39:11,NYC
0,1977,G�nter Mielke,Male,Germany,02:15:19,Berlin
1,1977,Christa Vahlensieck,Female,Germany,02:34:48,Berlin
2,1977,Jerome Drayton,Male,Canada,02:14:46,Boston
3,1977,Miki Gorman,Female,United States,02:48:33,Boston
4,1977,Bill Rodgers,Male,United States,02:11:28,NYC
5,1977,Miki Gorman,Female,United States,02:43:10,NYC
6,1977,Dan Cloeter,Male,United States,02:17:52,Chicago
7,1977,Dorothy Doolittle,Female,United States,02:50:47,Chicago
0,1978,Michael Sp�ttel,Male,Germany,02:20:03,Berlin
1,1978,Ursula Blaschke,Female,Germany,02:57:09,Berlin
2,1978,Bill Rodgers,Male,United States,02:10:13,Boston
3,1978,Gayle Barron,Female,United States,02:44:52,Boston
4,1978,Bill Rodgers,Male,United States,02:12:12,NYC
5,1978,Grete Waitz,Female,Norway,02:32:30,NYC
6,1978,Mark Stanforth,Male,United States,02:19:20,Chicago
7,1978,Lynae Larson,Female,United States,02:59:25,Chicago
0,1979,Ingo Sensburg,Male,Germany,02:21:09,Berlin
1,1979,Jutta von Haase,Female,Germany,03:07:07,Berlin
2,1979,Bill Rodgers,Male,United States,02:09:27,Boston
3,1979,Joan Benoit,Female,United States,02:35:15,Boston
4,1979,Bill Rodgers,Male,United States,02:11:42,NYC
5,1979,Grete Waitz,Female,Norway,02:27:33,NYC
6,1979,Dan Cloeter,Male,United States,02:23:20,Chicago
7,1979,Laura Michalek,Female,United States,03:15:45,Chicago
0,1980,Ingo Sensburg,Male,Germany,02:16:48,Berlin
1,1980,Gerlinde P�ttmann,Female,Germany,02:47:18,Berlin
2,1980,Bill Rodgers,Male,United States,02:12:11,Boston
3,1980,Jacqueline Gareau,Female,Canada,02:34:28,Boston
4,1980,Alberto Salazar,Male,United States,02:09:41,NYC
5,1980,Grete Waitz,Female,Norway,02:25:42,NYC
6,1980,Frank Richardson,Male,United States,02:14:04,Chicago
7,1980,Sue Peterson,Female,United States,02:45:03,Chicago
0,1981,Ian Ray,Male,United Kingdom,02:15:42,Berlin
1,1981,Angelika Stephan,Female,Germany,02:47:24,Berlin
2,1981,Toshihiko Seko,Male,Japan,02:09:26,Boston
3,1981,Allison Roe,Female,New Zealand,02:26:46,Boston
4,1981,Alberto Salazar,Male,United States,02:08:13,NYC
5,1981,Allison Roe,Female,New Zealand,02:25:29,NYC
6,1981,Dick Beardsley,Male,United States,02:11:48,London
7,1981,Inge Simonsen,Male,Norway,02:11:48,London
8,1981,Joyce Smith,Female,United Kingdom,02:29:57,London
9,1981,Phil Coppess,Male,United States,02:16:13,Chicago
10,1981,Tina Gandy,Female,United States,02:49:39,Chicago
0,1982,Domingo Tibaduiza,Male,Colombia,02:14:47,Berlin
1,1982,Jean Lochhead,Female,United Kingdom,02:47:05,Berlin
2,1982,Alberto Salazar,Male,United States,02:08:52,Boston
3,1982,Charlotte Teske,Female,Germany,02:29:33,Boston
4,1982,Alberto Salazar,Male,United States,02:09:29,NYC
5,1982,Grete Waitz,Female,Norway,02:27:14,NYC
6,1982,Hugh Jones,Male,United Kingdom,02:09:24,London
7,1982,Joyce Smith,Female,United Kingdom,02:29:43,London
8,1982,Greg Meyer,Male,United States,02:10:59,Chicago
9,1982,Nancy Conz,Female,United States,02:33:23,Chicago
0,1983,Karel Lismont,Male,Belgium,02:13:37,Berlin
1,1983,Karen Holdsworth,Female,United Kingdom,02:40:32,Berlin
2,1983,Greg Meyer,Male,United States,02:09:00,Boston
3,1983,Joan Benoit,Female,United States,02:22:43,Boston
4,1983,Rod Dixon,Male,New Zealand,02:08:59,NYC
5,1983,Grete Waitz,Female,Norway,02:27:00,NYC
6,1983,Mike Gratton,Male,United Kingdom,02:09:43,London
7,1983,Grete Waitz,Female,Norway,02:25:29,London
8,1983,Joseph Nzau,Male,Kenya,02:09:44,Chicago
9,1983,Rosa Mota,Female,Portugal,02:31:12,Chicago
0,1984,John Skovbjerg,Male,Denmark,02:13:35,Berlin
1,1984,�gnes Sipka,Female,Hungary,02:39:32,Berlin
2,1984,Geoff Smith,Male,United Kingdom,02:10:34,Boston
3,1984,Lorraine Moller,Female,New Zealand,02:29:28,Boston
4,1984,Orlando Pizzolato,Male,Italy,02:14:53,NYC
5,1984,Grete Waitz,Female,Norway,02:29:30,NYC
6,1984,Charlie Spedding,Male,United Kingdom,02:09:57,London
7,1984,Ingrid Kristiansen,Female,Norway,02:24:26,London
8,1984,Steve Jones,Male,United Kingdom,02:08:05,Chicago
9,1984,Rosa Mota,Female,Portugal,02:26:01,Chicago
0,1985,Jimmy Ashworth,Male,United Kingdom,02:11:43,Berlin
1,1985,Magda Ilands,Female,Belgium,02:34:10,Berlin
2,1985,Geoff Smith,Male,United Kingdom,02:14:05,Boston
3,1985,Lisa Larsen Weidenbach,Female,United States,02:34:06,Boston
4,1985,Orlando Pizzolato,Male,Italy,02:11:34,NYC
5,1985,Grete Waitz,Female,Norway,02:28:34,NYC
6,1985,Steve Jones,Male,United Kingdom,02:08:16,London
7,1985,Ingrid Kristiansen,Female,Norway,02:21:06,London
8,1985,Steve Jones,Male,United Kingdom,02:07:13,Chicago
9,1985,Joan Benoit,Female,United States,02:21:21,Chicago
0,1986,Boguslaw Psujek,Male,Poland,02:11:03,Berlin
1,1986,Charlotte Teske,Female,Germany,02:32:10,Berlin
2,1986,Robert de Castella,Male,Australia,02:07:51,Boston
3,1986,Ingrid Kristiansen,Female,Norway,02:24:55,Boston
4,1986,Gianni Poli,Male,Italy,02:11:06,NYC
5,1986,Grete Waitz,Female,Norway,02:28:06,NYC
6,1986,Toshihiko Seko,Male,Japan,02:10:02,London
7,1986,Grete Waitz,Female,Norway,02:24:54,London
8,1986,Toshihiko Seko,Male,Japan,02:08:27,Chicago
9,1986,Ingrid Kristiansen,Female,Norway,02:27:08,Chicago
0,1987,Suleiman Nyambui,Male,Tanzania,02:11:11,Berlin
1,1987,Kerstin Pre�ler,Female,Germany,02:31:22,Berlin
2,1987,Toshihiko Seko,Male,Japan,02:11:50,Boston
3,1987,Rosa Mota,Female,Portugal,02:25:21,Boston
4,1987,Ibrahim Hussein,Male,Kenya,02:11:01,NYC
5,1987,Priscilla Welch,Female,United Kingdom,02:30:17,NYC
6,1987,Hiromi Taniguchi,Male,Japan,02:09:50,London
7,1987,Ingrid Kristiansen,Female,Norway,02:22:48,London
0,1988,Suleiman Nyambui,Male,Tanzania,02:11:45,Berlin
1,1988,Renata Kokowska,Female,Poland,02:29:16,Berlin
2,1988,Ibrahim Hussein,Male,Kenya,02:08:43,Boston
3,1988,Rosa Mota,Female,Portugal,02:24:30,Boston
4,1988,Steve Jones,Male,United Kingdom,02:08:20,NYC
5,1988,Grete Waitz,Female,Norway,02:28:07,NYC
6,1988,Henrik J�rgensen,Male,Denmark,02:10:20,London
7,1988,Ingrid Kristiansen,Female,Norway,02:25:41,London
8,1988,Alejandro Cruz,Male,Mexico,02:08:57,Chicago
9,1988,Lisa Weidenbach,Female,United States,02:29:17,Chicago
0,1989,Alfredo Shahanga,Male,Tanzania,02:10:11,Berlin
1,1989,P�ivi Tikkanen,Female,Finland,02:28:45,Berlin
2,1989,Abebe Mekonnen,Male,Ethiopia,02:09:06,Boston
3,1989,Ingrid Kristiansen,Female,Norway,02:24:33,Boston
4,1989,Juma Ikangaa,Male,Tanzania,02:08:01,NYC
5,1989,Ingrid Kristiansen,Female,Norway,02:25:30,NYC
6,1989,Douglas Wakiihuri,Male,Kenya,02:09:03,London
7,1989,V�ronique Marot,Female,United Kingdom,02:25:56,London
8,1989,Paul Davies-Hale,Male,United Kingdom,02:11:25,Chicago
9,1989,Lisa Weidenbach,Female,United States,02:28:15,Chicago
